iter	Passed	Remaining
455	914	1090
456	915	1088
457	917	1085
458	918	1082
459	920	1080
460	921	1077
461	925	1077
462	927	1075
463	928	1073
464	931	1071
465	933	1069
466	935	1067
467	937	1065
468	941	1065
469	943	1063
470	945	1061
471	946	1059
472	948	1056
473	949	1054
474	951	1051
475	952	1048
476	955	1047
477	956	1045
478	958	1042
479	960	1040
480	962	1038
481	964	1036
482	966	1034
483	967	1031
484	970	1030
485	972	1028
486	974	1026
487	975	1023
488	976	1020
489	978	1018
490	979	1015
491	981	1013
492	982	1010
493	986	1010
494	987	1007
495	989	1005
496	990	1002
497	992	1000
498	993	997
499	994	994
500	996	992
501	997	989
502	1000	988
503	1002	986
504	1004	984
505	1006	982
506	1007	979
507	1009	977
508	1011	975
509	1012	973
510	1015	972
511	1017	969
512	1019	967
513	1020	964
514	1022	962
515	1023	959
516	1024	957
517	1026	954
518	1027	952
519	1029	950
520	1032	948
521	1033	946
522	1035	944
523	1036	941
524	1038	939
525	1039	936
526	1041	934
527	1042	931
528	1044	929
529	1046	927
530	1047	925
531	1049	922
532	1050	920
533	1052	918
534	1054	916
535	1056	914
536	1060	914
537	1063	912
538	1065	911
539	1067	909
540	1069	907
541	1071	905
542	1075	905
543	1077	903
544	1080	901
545	1082	900
546	1084	898
547	1086	896
548	1089	894
549	1092	893
550	1095	892
551	1097	890
552	1099	888
553	1101	886
554	1105	886
555	1107	884
556	1108	881
557	1110	879
558	1112	877
559	1114	875
560	1116	873
561	1118	871
562	1122	871
563	1124	869
564	1125	866
565	1127	864
566	1130	862
567	1132	861
568	1136	860
569	1138	858
570	1141	857
571	1144	856
572	1146	854
573	1148	852
574	1151	851
575	1153	849
576	1155	846
577	1156	844
578	1158	842
579	1160	840
580	1161	837
581	1163	835
582	1165	833
583	1167	831
584	1169	829
585	1170	827
586	1172	825
587	1174	823
588	1179	823
589	1182	821
590	1184	819
591	1186	817
592	1190	817
593	1193	816
594	1195	813
595	1197	811
596	1199	809
597	1200	807
598	1202	804
599	1204	803
600	1206	800
601	1207	798
602	1208	795
603	1210	793
604	1211	791
605	1213	788
606	1214	786
607	1216	784
608	1218	782
609	1220	780
610	1221	777
611	1223	775
612	1224	773
613	1226	770
614	1227	768
615	1229	766
616	1230	763
617	1232	761
618	1235	760
619	1236	758
620	1238	755
621	1239	753
622	1241	751
623	1242	748
624	1244	746
625	1245	744
626	1247	741
627	1249	740
628	1251	738
629	1253	735
630	1254	733
631	1255	731
632	1257	729
633	1259	726
634	1260	724
635	1261	722
636	1263	720
637	1266	718
638	1267	716
639	1269	714
640	1271	712
641	1272	709
642	1274	707
643	1276	705
644	1278	703
645	1281	702
646	1282	699
647	1284	697
648	1285	695
649	1286	692
650	1288	690
651	1290	688
652	1291	686
653	1293	684
654	1295	682
655	1297	680
656	1299	678
657	1300	676
658	1302	673
659	1303	671
660	1305	669
661	1306	667
662	1309	665
663	1311	663
664	1312	661
665	1314	659
666	1316	657
667	1317	654
668	1319	652
669	1320	650
670	1322	648
671	1325	646
672	1326	644
673	1328	642
674	1329	640
675	1331	638
676	1332	635
677	1334	633
678	1335	631
679	1337	629
680	1339	627
681	1341	625
682	1342	623
683	1344	621
684	1346	619
685	1348	617
686	1349	615
687	1351	612
688	1356	612
689	1358	610
690	1359	608
691	1361	606
692	1363	604
693	1365	601
694	1366	599
695	1370	598
696	1373	597
697	1375	595
698	1378	593
699	1381	591
700	1385	590
701	1387	589
